Run 6: 6.1784608364105225s, incorrect: 3, correct: 17
Run 7: 5.389720678329468s, incorrect: 1, correct: 17
Run 8: 5.133475303649902s, incorrect: 0, correct: 17
Run 9: 4.986713647842407s, incorrect: 0, correct: 17
Run 10: 6.279324531555176s, incorrect: 4, correct: 17
Run 11: 6.510624647140503s, incorrect: 5, correct: 17
Run 12: 5.35236382484436s, incorrect: 1, correct: 17
Run 13: 6.1484479904174805s, incorrect: 4, correct: 17
Run 14: 6.155084848403931s, incorrect: 3, correct: 17
Run 15: 5.108444929122925s, incorrect: 0, correct: 17
Run 16: 6.386101722717285s, incorrect: 5, correct: 17
Run 17: 6.411128997802734s, incorrect: 4, correct: 17
Run 18: 6.144168138504028s, incorrect: 4, correct: 17
Run 19: 6.579726934432983s, incorrect: 5, correct: 17
Run 20: 5.655394554138184s, incorrect: 2, correct: 17
Run 21: 6.3867902755737305s, incorrect: 5, correct: 17
Run 22: 6.549851417541504s, incorrect: 5, correct: 17
Run 23: 7.504100799560547s, incorrect: 8, correct: 17
Run 24: 7.132752895355225s, incorrect: 7, correct: 17
Run 25: 6.171369552612305s, incorrect: 4, correct: 17
Run 26: 5.845538377761841s, incorrect: 3, correct: 17
Run 34: 5.835334062576294s, incorrect: 2, correct: 17
Run 37: 5.503894329071045s, incorrect: 1, correct: 17
Run 38: 5.469987392425537s, incorrect: 1, correct: 17
Run 39: 5.712167263031006s, incorrect: 2, correct: 17
Run 40: 5.720332622528076s, incorrect: 2, correct: 17
Run 41: 6.4246063232421875s, incorrect: 4, correct: 17
Run 42: 6.291333436965942s, incorrect: 4, correct: 17
Run 43: 6.018065690994263s, incorrect: 3, correct: 17
Run 44: 6.885014772415161s, incorrect: 6, correct: 17
Run 45: 5.684159517288208s, incorrect: 2, correct: 17
Run 46: 6.265282392501831s, incorrect: 4, correct: 17
Run 47: 7.170912981033325s, incorrect: 7, correct: 17
Run 48: 5.632892608642578s, incorrect: 2, correct: 17
Run 49: 5.752060890197754s, incorrect: 2, correct: 17
Run 50: 6.270556926727295s, incorrect: 4, correct: 17
Run 51: 5.7079997062683105s, incorrect: 2, correct: 17
Run 52: 5.615098237991333s, incorrect: 2, correct: 17
Run 53: 5.721654176712036s, incorrect: 2, correct: 17
Run 54: 6.304542064666748s, incorrect: 4, correct: 17
Run 55: 6.036902904510498s, incorrect: 3, correct: 17
Run 56: 6.053442001342773s, incorrect: 3, correct: 17
Run 57: 6.787651062011719s, incorrect: 6, correct: 17
Run 58: 6.110203742980957s, incorrect: 3, correct: 17
Run 59: 5.874316930770874s, incorrect: 2, correct: 17
Run 60: 6.632318735122681s, incorrect: 5, correct: 17
Run 61: 5.14502215385437s, incorrect: 0, correct: 17
Run 62: 6.673625707626343s, incorrect: 6, correct: 17
Run 63: 7.138958692550659s, incorrect: 7, correct: 17
Run 64: 5.9951491355896s, incorrect: 3, correct: 17
Run 65: 5.797153949737549s, incorrect: 2, correct: 17
Run 66: 6.787458181381226s, incorrect: 5, correct: 17
Run 67: 6.876929521560669s, incorrect: 6, correct: 17
Run 68: 5.57831072807312s, incorrect: 2, correct: 17
Run 69: 5.387268781661987s, incorrect: 1, correct: 17
Run 70: 6.115116596221924s, incorrect: 3, correct: 17
Run 71: 5.152745485305786s, incorrect: 0, correct: 17
Run 72: 6.22793984413147s, incorrect: 4, correct: 17
Run 73: 6.6616222858428955s, incorrect: 5, correct: 17
Run 74: 6.046449184417725s, incorrect: 3, correct: 17
Run 75: 6.026153802871704s, incorrect: 3, correct: 17
Run 76: 6.146437644958496s, incorrect: 3, correct: 17
Run 77: 6.312051057815552s, incorrect: 4, correct: 17
Run 78: 6.585861921310425s, incorrect: 5, correct: 17
Run 79: 5.920892238616943s, incorrect: 3, correct: 17
Run 80: 7.126643896102905s, incorrect: 7, correct: 17
Run 81: 6.031968593597412s, incorrect: 3, correct: 17
Run 82: 6.4948742389678955s, incorrect: 5, correct: 17
Run 83: 5.680369138717651s, incorrect: 2, correct: 17
Run 84: 6.609419822692871s, incorrect: 5, correct: 17
Run 85: 5.875579833984375s, incorrect: 3, correct: 17
Run 86: 5.938436269760132s, incorrect: 3, correct: 17
Run 87: 5.936299800872803s, incorrect: 3, correct: 17
Run 88: 5.930089712142944s, incorrect: 3, correct: 17
Run 89: 5.686933994293213s, incorrect: 2, correct: 17
Run 90: 5.82353138923645s, incorrect: 3, correct: 17
Run 91: 6.299138784408569s, incorrect: 4, correct: 17
Run 92: 6.491390705108643s, incorrect: 5, correct: 17
Run 93: 5.6442131996154785s, incorrect: 2, correct: 17
Run 94: 5.577125549316406s, incorrect: 2, correct: 17
