
Run 1: 11.432237386703491s, incorrect:2, correct:17
Run 2: 12.83075761795044s, incorrect:5, correct:17
Run 3: 12.201883554458618s, incorrect:4, correct:17
Run 4: 13.68404483795166s, incorrect:5, correct:17
Run 5: 12.13956594467163s, incorrect:4, correct:17
Run 6: 13.692065477371216s, incorrect:7, correct:17
Run 7: 14.662675142288208s, incorrect:3, correct:17
Run 8: 13.876907587051392s, incorrect:6, correct:17
Run 9: 15.517839908599854s, incorrect:5, correct:17
Run 10: 12.4495108127594s, incorrect:2, correct:17
Run 11: 13.891907691955566s, incorrect:5, correct:17
Run 12: 14.330410480499268s, incorrect:6, correct:17
Run 13: 15.712681531906128s, incorrect:9, correct:17
Run 14: 13.510823965072632s, incorrect:5, correct:17
Run 15: 12.69193720817566s, incorrect:3, correct:17
Run 16: 12.914595365524292s, incorrect:3, correct:17
Run 17: 15.091161727905273s, incorrect:4, correct:17
Run 18: 11.802313089370728s, incorrect:1, correct:17
Run 20: 1.1283776760101318s, incorrect:12, correct:17
Run 21: 11.871920824050903s, incorrect:2, correct:17
Run 22: 12.875146627426147s, incorrect:2, correct:17
Run 23: 13.212676525115967s, incorrect:3, correct:17
Run 24: 15.95117449760437s, incorrect:6, correct:17
Run 25: 17.546948432922363s, incorrect:8, correct:17
Run 26: 19.091426849365234s, incorrect:8, correct:17
Run 27: 12.680590629577637s, incorrect:0, correct:17
Run 29: 2.22360897064209s, incorrect:13, correct:17
Run 30: 13.246248722076416s, incorrect:3, correct:17
Run 31: 12.639901638031006s, incorrect:4, correct:17
Run 32: 17.006545305252075s, incorrect:10, correct:17
Run 33: 12.534407377243042s, incorrect:4, correct:17
Run 34: 11.516066312789917s, incorrect:2, correct:17
Run 35: 14.810809135437012s, incorrect:5, correct:17
Run 36: 14.725970983505249s, incorrect:7, correct:17
Run 37: 13.75175929069519s, incorrect:6, correct:17
Run 38: 11.877445697784424s, incorrect:3, correct:17
Run 39: 11.294701337814331s, incorrect:3, correct:17
Run 40: 13.897722005844116s, incorrect:8, correct:17
Run 41: 11.227477073669434s, incorrect:3, correct:17
Run 42: 13.862740516662598s, incorrect:7, correct:17
Run 43: 13.123592615127563s, incorrect:5, correct:17
Run 44: 11.204728126525879s, incorrect:2, correct:17
Run 45: 10.390633344650269s, incorrect:1, correct:17
Run 46: 12.513457298278809s, incorrect:5, correct:17
Run 47: 12.179221868515015s, incorrect:4, correct:17
Run 48: 11.250264167785645s, incorrect:3, correct:17
Run 49: 11.496275901794434s, incorrect:3, correct:17
Run 50: 12.123409748077393s, incorrect:4, correct:17
Run 51: 11.766564846038818s, incorrect:3, correct:17
Run 52: 10.781684637069702s, incorrect:2, correct:17
Run 53: 12.388453483581543s, incorrect:5, correct:17
Run 54: 10.190443992614746s, incorrect:1, correct:17
Run 55: 11.214167356491089s, incorrect:3, correct:17
Run 56: 12.131548643112183s, incorrect:4, correct:17
Run 57: 12.891752004623413s, incorrect:5, correct:17
Run 58: 12.012709856033325s, incorrect:4, correct:17
Run 59: 10.740440607070923s, incorrect:2, correct:17
Run 60: 10.131176948547363s, incorrect:1, correct:17
Run 61: 12.301758289337158s, incorrect:4, correct:17
Run 62: 11.858022928237915s, incorrect:4, correct:17
Run 63: 10.67276930809021s, incorrect:2, correct:17
Run 64: 17.068023443222046s, incorrect:9, correct:17
Run 66: 0.7324521541595459s, incorrect:11, correct:17
Run 67: 14.396424055099487s, incorrect:5, correct:17
Run 69: 0.6054480075836182s, incorrect:11, correct:17
Run 70: 10.491971731185913s, incorrect:1, correct:17
Run 71: 11.69101095199585s, incorrect:3, correct:17
Run 72: 12.682524681091309s, incorrect:2, correct:17
Run 73: 12.531094312667847s, incorrect:3, correct:17
Run 74: 12.560797691345215s, incorrect:3, correct:17
Run 75: 11.39211916923523s, incorrect:1, correct:17
Run 76: 12.459129095077515s, incorrect:3, correct:17
Run 77: 11.497352600097656s, incorrect:2, correct:17
Run 78: 16.033763647079468s, incorrect:8, correct:17
Run 79: 12.694446325302124s, incorrect:3, correct:17
Run 80: 15.299971342086792s, incorrect:8, correct:17
Run 81: 12.318849086761475s, incorrect:4, correct:17
Run 82: 15.280871868133545s, incorrect:9, correct:17
Run 83: 13.008330345153809s, incorrect:5, correct:17
Run 84: 10.5464928150177s, incorrect:1, correct:17
Run 85: 13.420372486114502s, incorrect:6, correct:17
Run 86: 12.613349199295044s, incorrect:5, correct:17
Run 87: 12.825593709945679s, incorrect:5, correct:17
Run 88: 12.265475988388062s, incorrect:5, correct:17
Run 89: 12.181083679199219s, incorrect:4, correct:17
Run 90: 13.703524827957153s, incorrect:6, correct:17
Run 91: 15.096912384033203s, incorrect:8, correct:17
Run 92: 11.218205690383911s, incorrect:3, correct:17
Run 93: 13.364741325378418s, incorrect:7, correct:17
Run 94: 11.962827920913696s, incorrect:4, correct:17
Run 95: 11.842076539993286s, incorrect:4, correct:17
Run 96: 12.022635698318481s, incorrect:4, correct:17
Run 97: 11.336068630218506s, incorrect:3, correct:17
Run 98: 11.01390790939331s, incorrect:2, correct:17
Run 99: 10.73339319229126s, incorrect:1, correct:17
Run 100: 11.519829511642456s, incorrect:3, correct:17
Run 101: 11.48535680770874s, incorrect:3, correct:17
Run 102: 10.652219772338867s, incorrect:1, correct:17
Run 103: 15.511201858520508s, incorrect:9, correct:17
Run 104: 12.66962742805481s, incorrect:3, correct:17
Run 105: 13.692710161209106s, incorrect:6, correct:17
Run 106: 14.674708604812622s, incorrect:8, correct:17
Run 107: 11.170960426330566s, incorrect:1, correct:17
Run 108: 15.103570938110352s, incorrect:7, correct:17
Run 109: 11.949705362319946s, incorrect:1, correct:17
Run 110: 13.421834230422974s, incorrect:4, correct:17
Run 111: 14.028858423233032s, incorrect:6, correct:17
Run 112: 13.467849254608154s, incorrect:5, correct:17
Run 113: 13.303747415542603s, incorrect:4, correct:17
Run 114: 12.851826667785645s, incorrect:5, correct:17
Run 115: 13.11460828781128s, incorrect:5, correct:17
Run 116: 13.336326360702515s, incorrect:6, correct:17
Run 117: 13.93965482711792s, incorrect:4, correct:17
Run 118: 14.326890230178833s, incorrect:7, correct:17
Run 119: 12.340224504470825s, incorrect:4, correct:17
Run 120: 12.606483459472656s, incorrect:4, correct:17
Run 121: 15.747597217559814s, incorrect:9, correct:17
Run 122: 13.283855199813843s, incorrect:6, correct:17
Run 123: 12.726230144500732s, incorrect:5, correct:17
Run 124: 12.560674905776978s, incorrect:4, correct:17
Run 125: 12.164257526397705s, incorrect:4, correct:17
Run 126: 12.104079008102417s, incorrect:4, correct:17
Run 127: 13.705410480499268s, incorrect:6, correct:17
Run 128: 12.000367403030396s, incorrect:3, correct:17
Run 129: 12.726264476776123s, incorrect:4, correct:17
Run 130: 12.597002029418945s, incorrect:4, correct:17
Run 131: 11.984794616699219s, incorrect:3, correct:17
Run 132: 14.913235425949097s, incorrect:7, correct:17
Run 133: 14.253393173217773s, incorrect:7, correct:17
Run 134: 13.18620491027832s, incorrect:5, correct:17
Run 135: 13.636007070541382s, incorrect:6, correct:17
